Department,Name,No.,Date/Time 1,Date/Time 2,Date/Time  3,Location ID,ID Number,VerifyCode,CardNo,,
OUR COMPANY,6,6,9:03:00,5-Dec-23,9:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:45:00,5-Dec-23,17:45:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:01:00,6-Dec-23,9:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:40:00,6-Dec-23,17:40:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:00:00,7-Dec-23,9:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:48:00,7-Dec-23,17:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:02:00,9-Dec-23,9:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:45:00,9-Dec-23,18:45:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:04:00,10-Dec-23,9:04:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:42:00,10-Dec-23,18:42:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:03:00,11-Dec-23,9:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:15:00,11-Dec-23,18:15:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:15:00,11-Dec-23,18:15:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:05:00,12-Dec-23,9:05:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:00:00,12-Dec-23,18:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:07:00,12-Dec-23,18:07:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:04:00,14-Dec-23,9:04:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:38:00,14-Dec-23,17:38:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:59:00,18-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,19:32:00,18-Dec-23,19:32:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:04:00,19-Dec-23,9:04:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:35:00,19-Dec-23,18:35:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:02:00,20-Dec-23,18:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:03:00,21-Dec-23,18:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,19:56:00,23-Dec-23,19:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,8:19:00,25-Nov-23,8:19:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:11:00,25-Nov-23,17:11:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:32:00,25-Nov-23,17:32:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,9:03:00,27-Nov-23,9:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:43:00,27-Nov-23,17:43:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,8:53:00,2-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:22:00,2-Dec-23,17:22:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:37:00,2-Dec-23,17:37:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,9:59:00,6-Dec-23,9:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,9:07:00,7-Dec-23,9:07:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:48:00,7-Dec-23,17:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,8:58:00,9-Dec-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:33:00,9-Dec-23,17:33:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:33:00,9-Dec-23,17:33:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,12:27:00,10-Dec-23,12:27:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:54:00,10-Dec-23,17:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,8:59:00,12-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:35:00,12-Dec-23,17:35:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,8:54:00,13-Dec-23,8:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:38:00,13-Dec-23,17:38:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,8:45:00,19-Dec-23,8:45:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,17:10:00,19-Dec-23,17:10:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,9:02:00,20-Dec-23,9:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,12,12,15:31:00,20-Dec-23,15:31:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:53:00,25-Nov-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:58:00,26-Nov-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:16:00,26-Nov-23,17:16:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:58:00,27-Nov-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:05:00,27-Nov-23,17:05:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:50:00,28-Nov-23,8:50:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:56:00,29-Nov-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:01:00,29-Nov-23,17:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:54:00,30-Nov-23,8:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:10:00,30-Nov-23,17:10:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:55:00,2-Dec-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:56:00,3-Dec-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:58:00,4-Dec-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:59:00,5-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:26:00,5-Dec-23,17:26:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:48:00,6-Dec-23,8:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:48:00,6-Dec-23,17:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:45:00,7-Dec-23,8:45:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:12:00,7-Dec-23,17:12:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:02:00,9-Dec-23,8:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:15:00,9-Dec-23,17:15:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:53:00,10-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:24:00,10-Dec-23,17:24:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:55:00,11-Dec-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:34:00,11-Dec-23,17:34:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:52:00,12-Dec-23,8:52:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:01:00,12-Dec-23,17:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:47:00,13-Dec-23,8:47:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:12:00,13-Dec-23,17:12:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:54:00,14-Dec-23,8:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:28:00,14-Dec-23,17:28:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:55:00,17-Dec-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:56:00,18-Dec-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:58:00,19-Dec-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:49:00,20-Dec-23,8:49:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:05:00,20-Dec-23,17:05:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:54:00,21-Dec-23,8:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:53:00,23-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:00:00,23-Dec-23,17:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,8:53:00,24-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,29,29,17:00:00,24-Dec-23,17:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:11:00,25-Nov-23,9:11:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:41:00,25-Nov-23,17:41:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:55:00,26-Nov-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:46:00,26-Nov-23,17:46:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:06:00,27-Nov-23,9:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:43:00,27-Nov-23,17:43:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:59:00,28-Nov-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:44:00,28-Nov-23,17:44:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:36:00,29-Nov-23,17:36:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:01:00,30-Nov-23,9:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,18:02:00,30-Nov-23,18:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:55:00,2-Dec-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:35:00,2-Dec-23,17:35:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,10:39:00,3-Dec-23,10:39:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:44:00,3-Dec-23,17:44:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,18:00:00,3-Dec-23,18:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:04:00,4-Dec-23,9:04:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:48:00,4-Dec-23,17:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:59:00,5-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:46:00,5-Dec-23,17:46:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:54:00,6-Dec-23,8:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:42:00,6-Dec-23,17:42:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:06:00,7-Dec-23,9:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:48:00,7-Dec-23,17:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:59:00,9-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:49:00,9-Dec-23,17:49:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:22:00,10-Dec-23,9:22:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:46:00,10-Dec-23,17:46:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:56:00,11-Dec-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:51:00,11-Dec-23,17:51:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:56:00,12-Dec-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,18:01:00,12-Dec-23,18:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:56:00,13-Dec-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:33:00,13-Dec-23,17:33:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:54:00,14-Dec-23,8:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:39:00,14-Dec-23,17:39:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:00:00,17-Dec-23,9:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:03:00,17-Dec-23,17:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:53:00,18-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:42:00,18-Dec-23,17:42:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:59:00,19-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:59:00,19-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:59:00,19-Dec-23,17:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,9:06:00,20-Dec-23,9:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,18:02:00,20-Dec-23,18:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,18:05:00,20-Dec-23,18:05:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:57:00,21-Dec-23,8:57:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,18:03:00,21-Dec-23,18:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:57:00,23-Dec-23,8:57:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:48:00,23-Dec-23,17:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:53:00,24-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,8:53:00,24-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,36,36,17:47:00,24-Dec-23,17:47:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:54:00,26-Nov-23,8:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:32:00,26-Nov-23,17:32:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:51:00,27-Nov-23,8:51:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:39:00,27-Nov-23,17:39:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:55:00,28-Nov-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:57:00,28-Nov-23,17:57:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:58:00,29-Nov-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:30:00,29-Nov-23,17:30:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:51:00,30-Nov-23,8:51:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:56:00,30-Nov-23,17:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:58:00,2-Dec-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,9:01:00,3-Dec-23,9:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:44:00,3-Dec-23,17:44:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:51:00,4-Dec-23,8:51:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:37:00,4-Dec-23,17:37:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:37:00,4-Dec-23,17:37:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:57:00,5-Dec-23,8:57:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:18:00,5-Dec-23,17:18:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:57:00,6-Dec-23,8:57:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:06:00,6-Dec-23,17:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,9:00:00,7-Dec-23,9:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:44:00,7-Dec-23,17:44:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:59:00,9-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:34:00,9-Dec-23,17:34:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:55:00,10-Dec-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:33:00,10-Dec-23,17:33:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:59:00,11-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:59:00,11-Dec-23,17:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:52:00,12-Dec-23,8:52:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,18:03:00,12-Dec-23,18:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,18:07:00,12-Dec-23,18:07:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:48:00,13-Dec-23,8:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:21:00,13-Dec-23,17:21:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:52:00,14-Dec-23,8:52:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:37:00,14-Dec-23,17:37:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:58:00,17-Dec-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:11:00,17-Dec-23,17:11:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:55:00,18-Dec-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:30:00,18-Dec-23,17:30:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:55:00,19-Dec-23,8:55:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:23:00,19-Dec-23,17:23:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:23:00,19-Dec-23,17:23:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,9:00:00,20-Dec-23,9:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,18:22:00,20-Dec-23,18:22:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:47:00,21-Dec-23,8:47:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:49:00,21-Dec-23,17:49:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:41:00,23-Dec-23,8:41:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:11:00,23-Dec-23,17:11:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,17:12:00,23-Dec-23,17:12:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,8:49:00,24-Dec-23,8:49:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,49,49,18:00:00,24-Dec-23,18:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:04:00,25-Nov-23,9:04:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,17:12:00,25-Nov-23,17:12:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:03:00,26-Nov-23,9:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:22:00,2-Dec-23,9:22:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,17:22:00,2-Dec-23,17:22:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:52:00,3-Dec-23,9:52:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,17:30:00,3-Dec-23,17:30:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:28:00,4-Dec-23,9:28:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,16:59:00,4-Dec-23,16:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,8:58:00,5-Dec-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,17:21:00,5-Dec-23,17:21:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:09:00,6-Dec-23,9:09:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,17:08:00,6-Dec-23,17:08:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,17:15:00,7-Dec-23,17:15:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:03:00,11-Dec-23,9:03:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,17:02:00,11-Dec-23,17:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,9:11:00,23-Dec-23,9:11:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,94,94,19:54:00,23-Dec-23,19:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:22:00,25-Nov-23,8:22:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:06:00,25-Nov-23,17:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:53:00,26-Nov-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:52:00,27-Nov-23,8:52:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:05:00,27-Nov-23,17:05:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:50:00,28-Nov-23,8:50:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:10:00,28-Nov-23,17:10:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:56:00,29-Nov-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:01:00,29-Nov-23,17:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:58:00,30-Nov-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:09:00,2-Dec-23,8:09:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:00:00,2-Dec-23,17:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:56:00,3-Dec-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,16:11:00,5-Dec-23,16:11:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:59:00,6-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:06:00,6-Dec-23,17:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:18:00,7-Dec-23,8:18:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:57:00,12-Dec-23,8:57:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:02:00,12-Dec-23,17:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,9:00:00,13-Dec-23,9:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:01:00,13-Dec-23,17:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:59:00,14-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:06:00,17-Dec-23,8:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:00:00,17-Dec-23,17:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:59:00,19-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:02:00,19-Dec-23,17:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,8:56:00,20-Dec-23,8:56:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,116,116,17:06:00,20-Dec-23,17:06:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,8:26:00,25-Nov-23,8:26:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,17:07:00,25-Nov-23,17:07:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,8:48:00,26-Nov-23,8:48:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,17:38:00,26-Nov-23,17:38:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,8:52:00,27-Nov-23,8:52:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,17:08:00,27-Nov-23,17:08:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,8:59:00,28-Nov-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,775,775,17:10:00,28-Nov-23,17:10:00,104,,FP/PW/RF/FACE,,,
